"","X","Home.Team","Away.Team","Score","Half.Time.Score","Match.Excitement","Home.Team.Rating","Away.Team.Rating","Home.Team.Possession..","Away.Team.Possession..","Home.Team.Off.Target.Shots","Home.Team.On.Target.Shots","Home.Team.Total.Shots","Home.Team.Blocked.Shots","Home.Team.Corners","Home.Team.Throw.Ins","Home.Team.Pass.Success..","Home.Team.Aerials.Won","Home.Team.Clearances","Home.Team.Fouls","Home.Team.Yellow.Cards","Home.Team.Second.Yellow.Cards","Home.Team.Red.Cards","Away.Team.Off.Target.Shots","Away.Team.On.Target.Shots","Away.Team.Total.Shots","Away.Team.Blocked.Shots","Away.Team.Corners","Away.Team.Throw.Ins","Away.Team.Pass.Success..","Away.Team.Aerials.Won","Away.Team.Clearances","Away.Team.Fouls","Away.Team.Yellow.Cards","Away.Team.Second.Yellow.Cards","Away.Team.Red.Cards","Home.Team.Goals.Scored","Away.Team.Goals.Scored","Home.Team.Goals.Conceeded","Away.Team.Goals.Conceeded","year"
"380",379,"REAL MADRID","GETAFE","7-3","3-3",9.7,8.4,4.2,54,46,5,11,18,2,8,13,88,8,15,12,2,0,0,7,6,14,1,7,13,86,6,15,13,3,0,0,7,3,3,7,2014
"381",380,"MÁLAGA","SEVILLA FC","0-0","0-0",3.4,6.6,5.5,57,43,13,5,25,7,7,19,80,7,15,19,3,0,0,7,2,10,1,2,27,73,16,18,11,4,1,0,0,0,0,0,2015
"382",381,"ESPANYOL","GETAFE","1-0","1-0",3.1,6.8,5.8,33,67,2,2,5,1,4,22,66,20,34,19,2,0,0,7,3,13,3,6,20,84,9,15,14,4,1,0,1,0,0,1,2015
"383",382,"DEPORTIVO","REAL SOCIEDAD","0-0","0-0",2.9,6.7,5.9,57,43,6,5,16,5,5,24,80,14,31,16,3,0,0,1,2,9,6,4,31,71,19,31,10,2,0,0,0,0,0,0,2015
"384",383,"ATLETICO MADRID","LAS PALMAS","1-0","1-0",3.4,6.7,6,62,38,8,3,14,3,4,24,84,12,8,11,2,0,0,4,1,8,3,4,21,74,26,36,16,0,0,0,1,0,0,1,2015
"385",384,"RAYO VALLECANO","VALENCIA","0-0","0-0",2.4,6.5,6.2,57,43,2,3,8,3,3,23,76,19,27,19,3,0,0,4,4,10,2,3,36,69,22,22,11,1,0,0,0,0,0,0,2015
"386",385,"ATHLETIC","BARCELONA","0-1","0-0",3.5,5.5,6.4,33,67,3,2,8,3,2,17,61,18,21,16,3,0,0,3,4,10,3,4,32,81,15,34,11,3,0,0,0,1,1,0,2015
"387",386,"GIJÓN","REAL MADRID","0-0","0-0",3.3,6,7.3,33,67,4,0,6,2,2,16,67,9,34,20,4,0,0,14,8,27,5,5,17,87,17,24,4,0,0,0,0,0,0,0,2015
"388",387,"LEVANTE","CELTA","1-2","0-1",6,5.3,7,29,71,7,2,11,2,4,21,68,12,28,12,1,0,1,6,6,15,3,6,14,87,19,40,17,3,0,0,1,2,2,1,2015
"389",388,"REAL BETIS","VILLARREAL","1-1","0-1",5.4,6.5,5.8,66,34,13,6,22,3,7,26,78,14,15,11,3,0,0,4,4,8,0,5,24,62,22,38,26,1,0,1,1,1,1,1,2015
"390",389,"GRANADA","EIBAR","1-3","0-2",6,5.6,7.2,57,43,5,6,12,1,6,36,77,15,19,5,1,0,1,4,4,10,2,5,35,71,21,27,23,6,0,0,1,3,3,1,2015
"391",390,"VILLARREAL","ESPANYOL","3-1","0-1",6.5,7.1,5.3,57,43,8,4,14,2,2,22,79,15,11,10,1,0,0,2,3,5,0,3,21,73,21,29,20,6,0,0,3,1,1,3,2015
"392",391,"REAL SOCIEDAD","GIJÓN","0-0","0-0",2.3,5.9,7,60,40,9,1,12,2,6,22,82,12,20,10,4,0,0,3,2,7,2,4,15,71,20,36,15,5,0,0,0,0,0,0,2015
"393",392,"BARCELONA","MÁLAGA","1-0","0-0",4.3,7.8,4.9,75,25,6,13,22,3,15,20,87,14,15,4,0,0,0,3,1,4,0,2,18,61,3,22,21,3,0,0,1,0,0,1,2015
"394",393,"CELTA","RAYO VALLECANO","3-0","1-0",5.1,8.2,4.5,65,35,1,7,11,3,5,21,86,12,11,7,3,0,0,2,0,3,1,4,23,69,16,14,11,2,0,1,3,0,0,3,2015
"395",394,"REAL MADRID","REAL BETIS","5-0","2-0",7.2,9.2,3.4,69,31,6,11,21,4,11,24,91,9,24,12,3,0,0,3,1,7,3,4,18,77,2,31,14,3,0,0,5,0,0,5,2015
"396",395,"EIBAR","ATHLETIC","2-0","1-0",4.2,7.8,4.7,43,57,0,8,9,1,11,19,67,31,23,14,2,0,0,5,1,9,3,4,12,75,20,21,13,2,0,0,2,0,0,2,2015
"397",396,"VALENCIA","DEPORTIVO","1-1","1-1",4.9,6,7,54,46,3,6,12,3,5,37,76,25,14,13,3,1,0,6,3,12,3,7,18,74,12,20,16,1,0,0,1,1,1,1,2015
"398",397,"SEVILLA FC","ATLETICO MADRID","0-3","0-1",6.6,5.4,7.6,62,38,6,7,25,12,11,18,82,19,22,17,3,0,0,7,7,17,3,1,17,76,23,41,13,4,0,0,0,3,3,0,2015
"399",398,"GETAFE","GRANADA","1-2","0-2",5.7,5.4,6.9,61,39,7,4,16,5,6,33,79,12,22,16,5,0,0,3,4,9,2,6,23,67,12,29,15,3,0,0,1,2,2,1,2015
"400",399,"LAS PALMAS","LEVANTE","0-0","0-0",1.8,6.6,5.7,66,34,10,2,16,4,3,31,79,31,22,14,2,0,0,1,2,3,0,0,20,60,19,28,21,4,0,0,0,0,0,0,2015
"401",400,"LEVANTE","SEVILLA FC","1-1","0-1",4.3,6.1,6.3,54,46,7,4,14,3,5,25,77,18,22,12,3,0,0,3,3,8,2,4,38,74,29,31,8,3,0,0,1,1,1,1,2015
"402",401,"ESPANYOL","REAL MADRID","0-6","0-4",6.9,3.8,9.1,53,47,6,3,14,5,5,14,88,5,17,19,2,0,0,5,8,15,2,6,13,86,10,17,10,2,0,0,0,6,6,0,2015
"403",402,"GIJÓN","VALENCIA","0-1","0-0",4.7,6.2,6.2,40,60,3,8,15,4,4,21,70,17,33,16,3,0,0,7,3,17,7,6,19,84,26,22,11,3,0,0,0,1,1,0,2015
"404",403,"ATLETICO MADRID","BARCELONA","1-2","0-0",5.9,6,7.3,31,69,5,3,11,3,1,18,77,9,22,17,3,0,0,5,5,13,3,10,26,88,8,9,5,1,0,0,1,2,2,1,2015
"405",404,"REAL BETIS","REAL SOCIEDAD","1-0","1-0",3.2,6.2,6,39,61,6,2,9,1,2,18,70,12,30,12,5,1,0,6,3,14,5,4,38,80,18,18,10,3,0,0,1,0,0,1,2015
"406",405,"GRANADA","VILLARREAL","1-3","0-0",6,5.3,7.5,56,44,7,2,13,4,8,29,79,14,26,16,2,0,0,2,5,8,1,6,26,72,6,28,21,4,0,0,1,3,3,1,2015
"407",406,"ATHLETIC","GETAFE","3-1","2-0",6.1,7.6,5.5,54,46,6,6,14,2,12,28,76,28,23,12,1,0,0,5,4,12,3,5,20,69,18,31,15,4,0,0,3,1,1,3,2015
"408",407,"CELTA","LAS PALMAS","3-3","2-1",9.9,7,6.4,68,32,7,12,25,6,7,16,88,6,9,19,0,0,0,5,4,9,0,2,18,73,10,27,14,3,0,1,3,3,3,3,2015
"409",408,"MÁLAGA","EIBAR","0-0","0-0",2.2,7.1,5.7,54,46,6,4,10,0,7,34,75,22,18,11,2,0,0,5,1,7,2,3,23,68,10,29,13,4,0,0,0,0,0,0,2015
"410",409,"RAYO VALLECANO","DEPORTIVO","1-3","1-2",5.7,4.9,7.6,64,36,4,2,8,2,5,39,81,15,16,12,2,0,1,4,8,14,2,4,22,66,27,31,10,2,0,0,1,3,3,1,2015
"411",410,"GETAFE","MÁLAGA","1-0","1-0",3.3,6.1,6,39,61,5,4,10,1,4,25,70,17,46,18,5,0,0,6,3,13,4,7,31,78,13,18,11,2,0,0,1,0,0,1,2015
"412",411,"REAL MADRID","GRANADA","1-0","0-0",4.4,7.6,5.4,67,33,8,10,20,2,10,31,88,6,11,9,1,0,0,5,3,12,4,1,19,73,6,15,15,3,0,0,1,0,0,1,2015
"413",412,"VALENCIA","REAL BETIS","0-0","0-0",2.7,7,5.6,67,33,7,5,22,10,7,20,86,12,15,17,4,0,0,1,1,3,1,1,25,67,13,30,15,3,1,0,0,0,0,0,2015
"414",413,"EIBAR","ATLETICO MADRID","0-2","0-0",4.2,5.6,7.5,41,59,3,3,9,3,1,22,72,16,27,13,2,0,0,6,6,14,2,4,23,83,15,23,7,1,0,0,0,2,2,0,2015
"415",414,"REAL SOCIEDAD","ESPANYOL","2-3","1-1",8.9,5.4,7,51,49,7,3,10,0,7,23,80,13,19,15,2,0,1,4,6,18,8,6,14,78,18,26,16,3,0,0,2,3,3,2,2015
"416",415,"SEVILLA FC","CELTA","1-2","0-2",6.4,6,6.4,45,55,6,5,13,2,5,17,75,17,17,16,3,0,0,7,5,15,3,5,14,83,13,25,16,5,1,0,1,2,2,1,2015
"417",416,"DEPORTIVO","GIJÓN","2-3","2-3",7.7,6.1,6.8,62,38,5,9,19,5,8,34,79,11,15,11,3,0,0,0,4,4,0,3,19,69,17,40,16,3,0,0,2,3,3,2,2015
"418",417,"VILLARREAL","ATHLETIC","3-1","1-0",7,7.4,5,46,54,5,7,14,2,9,32,70,26,19,17,4,0,0,5,2,10,3,4,29,71,28,25,6,4,0,0,3,1,1,3,2015
"419",418,"BARCELONA","LEVANTE","4-1","0-0",6.6,7.8,4.5,70,30,8,8,21,5,4,16,90,10,8,8,0,0,0,4,4,11,3,4,20,74,9,21,15,1,0,0,4,1,1,4,2015
"420",419,"LAS PALMAS","RAYO VALLECANO","0-1","0-1",3.2,5.6,6.9,51,49,6,2,8,0,3,33,66,26,19,13,3,0,0,8,6,17,3,5,24,69,29,20,19,5,0,0,0,1,1,0,2015
"421",420,"ATLETICO MADRID","GETAFE","2-0","1-0",4.2,7.4,6,54,46,6,3,12,3,6,29,84,16,12,14,3,0,0,2,2,6,2,1,29,79,7,10,10,2,0,0,2,0,0,2,2015
"422",421,"ESPANYOL","VALENCIA","1-0","1-0",3.9,6.6,6.2,48,52,6,5,17,6,7,32,77,10,15,22,5,0,0,4,4,10,2,6,21,79,16,30,14,7,0,0,1,0,0,1,2015
"423",422,"GRANADA","REAL SOCIEDAD","0-3","0-2",4.5,4.5,7.9,51,49,5,1,11,5,4,42,72,27,23,20,5,0,0,2,5,8,1,3,23,70,30,37,18,4,0,0,0,3,3,0,2015
"424",423,"LEVANTE","EIBAR","2-2","0-1",7.1,6.2,6.4,59,41,6,2,12,4,4,37,76,16,14,13,2,0,0,2,4,10,4,7,25,66,23,25,23,5,0,0,2,2,2,2,2015
"425",424,"RAYO VALLECANO","GIJÓN","2-1","1-0",5.2,6.9,5.4,64,36,8,6,18,4,4,22,82,21,20,14,2,0,0,1,2,6,3,4,26,66,18,38,18,2,1,0,2,1,1,2,2015
"426",425,"CELTA","BARCELONA","4-1","2-0",7.4,7.7,5.5,44,56,8,5,18,5,5,18,76,10,17,19,2,0,0,8,7,18,3,10,13,80,15,11,4,2,0,0,4,1,1,4,2015
"427",426,"ATHLETIC","REAL MADRID","1-2","0-1",6.5,5.7,7.4,44,56,4,5,12,3,6,12,81,15,15,16,4,0,0,10,6,22,6,8,18,85,16,28,9,3,0,0,1,2,2,1,2015
"428",427,"MÁLAGA","VILLARREAL","0-1","0-0",3.4,5.7,6.6,58,42,5,4,15,6,8,28,77,24,21,18,2,0,0,4,3,9,2,5,24,66,24,42,14,3,0,0,0,1,1,0,2015
"429",428,"LAS PALMAS","SEVILLA FC","2-0","1-0",4.4,7.6,5.4,43,57,3,4,12,5,5,21,69,16,24,9,3,0,0,9,3,17,5,5,24,74,33,15,13,4,0,0,2,0,0,2,2015
"430",429,"REAL BETIS","DEPORTIVO","1-2","0-0",5.3,5.2,7.2,60,40,7,2,9,0,3,22,79,16,14,11,3,0,0,5,3,8,0,4,24,72,18,23,21,5,0,0,1,2,2,1,2015
"431",430,"VALENCIA","GRANADA","1-0","1-0",4.1,7,6.3,48,52,7,5,12,0,11,27,78,12,26,19,3,0,0,10,3,18,5,3,20,78,16,26,20,3,0,0,1,0,0,1,2015
"432",431,"BARCELONA","LAS PALMAS","2-1","1-0",6.2,6.2,5.9,67,33,8,6,18,4,3,15,88,12,11,12,2,0,0,3,6,10,1,4,18,72,7,19,23,4,0,0,2,1,1,2,2015
"433",432,"REAL MADRID","MÁLAGA","0-0","0-0",4.4,6.2,6.4,69,31,17,9,31,5,12,22,92,7,12,11,4,0,0,4,3,12,5,6,9,76,4,34,10,3,0,1,0,0,0,0,2015
"434",433,"SEVILLA FC","RAYO VALLECANO","3-2","2-0",8.7,6.5,5.3,48,52,4,8,16,4,6,25,77,15,14,9,1,0,0,9,5,18,4,5,20,81,13,21,18,3,1,0,3,2,2,3,2015
"435",434,"VILLARREAL","ATLETICO MADRID","1-0","1-0",3,7.2,6.2,48,52,2,2,5,1,1,22,80,15,42,11,2,0,0,3,4,9,2,5,37,78,17,10,15,2,0,0,1,0,0,1,2015
"436",435,"EIBAR","CELTA","1-1","1-0",3.8,6.2,6.4,34,66,2,3,10,5,4,16,59,19,27,25,5,0,0,4,2,9,3,4,27,80,24,22,16,4,0,0,1,1,1,1,2015
"437",436,"GIJÓN","REAL BETIS","1-2","1-0",6.7,6.9,6.5,56,44,5,10,19,4,10,20,84,20,13,11,1,0,0,7,5,13,1,4,23,82,19,33,9,1,0,0,1,2,2,1,2015
"438",437,"DEPORTIVO","ESPANYOL","3-0","2-0",5.8,7.8,4.1,48,52,7,5,14,2,7,20,82,14,18,11,3,0,0,2,3,7,2,5,27,83,16,20,11,4,1,0,3,0,0,3,2015
"439",438,"GETAFE","LEVANTE","3-0","0-0",6.3,7.4,5.1,58,42,5,9,16,2,4,34,77,15,13,11,2,0,0,5,3,10,2,4,23,69,24,29,10,3,0,0,3,0,0,3,2015
"440",439,"REAL SOCIEDAD","ATHLETIC","0-0","0-0",2.3,6.5,6.3,47,53,6,4,15,5,4,26,65,22,28,15,3,0,0,5,2,10,3,2,38,69,31,24,19,4,0,0,0,0,0,0,2015
"441",440,"CELTA","GETAFE","0-0","0-0",3.9,6.9,5.8,67,33,9,7,18,2,9,17,80,20,10,12,1,0,0,5,3,9,1,1,28,64,17,25,18,5,0,0,0,0,0,0,2015
"442",441,"SEVILLA FC","BARCELONA","2-1","0-0",8,6.3,6.3,37,63,5,5,12,2,7,12,72,15,27,16,5,0,0,8,9,28,11,9,26,86,12,12,16,3,0,0,2,1,1,2,2015
"443",442,"GRANADA","DEPORTIVO","1-1","0-1",4.5,6,6.5,53,47,7,3,10,0,2,32,70,11,19,13,1,0,0,8,3,14,3,5,34,68,21,23,21,3,0,0,1,1,1,1,2015
"444",443,"ESPANYOL","GIJÓN","1-2","0-1",7,5.7,7.2,55,45,2,9,13,2,9,17,82,14,14,18,3,0,0,8,2,12,2,1,25,77,10,24,16,3,0,0,1,2,2,1,2015
"445",444,"LAS PALMAS","EIBAR","0-2","0-1",4.1,6,6.7,62,38,11,4,18,3,3,25,82,17,18,5,2,0,0,3,4,9,2,1,25,62,21,25,16,2,0,0,0,2,2,0,2015
"446",445,"MÁLAGA","REAL SOCIEDAD","3-1","2-1",7.2,7.5,4.8,36,64,2,7,11,2,2,16,71,18,24,15,4,1,0,6,5,13,2,4,25,82,20,22,16,2,0,0,3,1,1,3,2015
"447",446,"RAYO VALLECANO","REAL BETIS","0-2","0-1",5.1,5.9,6.3,67,33,11,9,23,3,8,35,81,17,15,13,4,0,0,2,6,9,1,3,27,55,16,27,14,2,0,0,0,2,2,0,2015
"448",447,"ATHLETIC","VALENCIA","3-1","1-1",6.3,7.4,5.6,50,50,5,7,16,4,10,23,79,13,20,12,0,0,0,3,4,9,2,4,16,81,13,22,9,3,0,0,3,1,1,3,2015
"449",448,"LEVANTE","VILLARREAL","1-0","0-0",3.5,6.6,5.7,48,52,5,4,14,5,8,21,73,18,6,15,4,0,0,1,2,3,0,2,23,76,11,29,17,4,1,0,1,0,0,1,2015
"450",449,"ATLETICO MADRID","REAL MADRID","1-1","0-1",4.9,6,6.5,46,54,7,4,18,7,5,23,83,20,16,19,6,0,0,6,2,9,1,1,17,86,13,19,12,4,0,0,1,1,1,1,2015
"451",450,"REAL MADRID","LEVANTE","3-0","2-0",6,7.9,5.1,58,42,12,6,20,2,4,13,89,14,17,8,1,0,0,6,5,15,4,4,26,80,14,14,10,4,0,0,3,0,0,3,2015
"452",451,"EIBAR","SEVILLA FC","1-1","1-0",4.4,6.4,6.3,42,58,7,4,14,3,2,30,67,22,32,16,2,0,0,5,5,15,5,5,32,72,15,17,9,3,0,0,1,1,1,1,2015
"453",452,"BARCELONA","RAYO VALLECANO","5-2","2-1",8.7,7.4,4.8,45,55,4,9,14,1,7,14,82,14,22,8,1,0,0,7,8,22,7,10,15,83,4,10,15,2,0,0,5,2,2,5,2015
"454",453,"VALENCIA","MÁLAGA","3-0","2-0",5.3,7,5.3,49,51,3,3,7,1,6,21,79,11,21,18,3,0,0,6,3,10,1,8,30,73,17,23,21,3,0,0,3,0,0,3,2015
"455",454,"REAL BETIS","ESPANYOL","1-3","0-1",6.8,5.7,7.1,59,41,10,6,21,5,4,27,81,15,8,18,2,0,0,5,4,13,4,3,19,70,9,29,21,4,0,0,1,3,3,1,2015
"456",455,"VILLARREAL","CELTA","1-2","0-1",6.4,5.7,7,33,67,7,3,12,2,7,11,69,9,13,10,2,1,0,10,2,13,1,4,20,86,15,16,12,3,0,0,1,2,2,1,2015
"457",456,"REAL SOCIEDAD","ATLETICO MADRID","0-2","0-1",4.5,4.7,7.5,58,42,5,1,11,5,5,28,80,18,13,14,6,2,0,3,3,7,1,2,28,76,15,39,11,5,0,0,0,2,2,0,2015
"458",457,"GETAFE","LAS PALMAS","4-0","2-0",6.4,7.8,4.9,41,59,5,7,14,2,5,19,81,11,16,18,2,0,0,8,3,16,5,1,17,87,10,14,15,1,0,1,4,0,0,4,2015
"459",458,"DEPORTIVO","ATHLETIC","2-2","0-1",7.8,6.8,6.2,57,43,10,3,17,4,4,24,78,16,24,9,2,0,0,4,2,7,1,6,23,71,27,18,18,2,0,0,2,2,2,2,2015
"460",459,"GIJÓN","GRANADA","3-3","1-2",10,6.6,5.7,67,33,8,6,16,2,6,28,79,20,6,10,3,0,0,6,7,14,1,1,21,62,19,31,13,6,2,0,3,3,3,3,2015
"461",460,"RAYO VALLECANO","ESPANYOL","3-0","1-0",6.6,7.7,3.9,67,33,3,7,13,3,6,31,84,15,11,15,3,1,0,2,3,9,4,5,30,67,9,26,11,2,1,0,3,0,0,3,2015
"462",461,"CELTA","REAL MADRID","1-3","0-2",7.8,5.1,7.4,50,50,8,7,17,2,5,12,84,16,24,17,5,1,0,4,8,14,2,7,13,80,12,19,16,1,0,0,1,3,3,1,2015
"463",462,"GRANADA","REAL BETIS","1-1","1-1",4.1,6.3,6.4,40,60,9,6,17,2,3,27,59,23,27,8,3,0,0,1,2,8,5,3,37,73,17,20,11,3,0,0,1,1,1,1,2015
"464",463,"SEVILLA FC","GETAFE","5-0","2-0",6.9,9.6,3,57,43,8,13,22,1,7,5,89,8,10,18,1,0,0,4,0,6,2,3,11,81,12,15,15,2,1,0,5,0,0,5,2015
"465",464,"MÁLAGA","DEPORTIVO","2-0","0-0",3.9,7.3,5.6,49,51,3,4,9,2,3,33,74,12,19,11,0,0,0,7,1,10,2,5,28,73,20,21,10,1,0,0,2,0,0,2,2015
"466",465,"LEVANTE","REAL SOCIEDAD","0-4","0-2",6.5,4.4,8.4,57,43,6,3,13,4,10,28,72,21,17,24,4,1,0,6,6,13,1,3,22,67,28,39,15,3,0,0,0,4,4,0,2015
"467",466,"LAS PALMAS","VILLARREAL","0-0","0-0",1.7,7,6.1,60,40,1,2,6,3,6,38,78,14,29,12,1,0,0,3,0,5,2,6,35,70,26,19,14,2,0,0,0,0,0,0,2015
"468",467,"BARCELONA","EIBAR","3-1","1-1",6,6.7,5.4,69,31,8,5,14,1,6,20,85,17,15,14,3,0,1,2,5,7,0,2,27,62,12,19,18,5,0,0,3,1,1,3,2015
"469",468,"ATLETICO MADRID","VALENCIA","2-1","2-0",5.6,7.4,5.6,50,50,5,8,16,3,9,26,77,20,16,26,4,0,0,3,1,6,2,2,22,78,18,27,10,4,0,0,2,1,1,2,2015
"470",469,"ATHLETIC","GIJÓN","3-0","2-0",5.3,7.5,4,51,49,12,6,20,2,9,15,77,33,23,8,1,0,0,4,0,6,2,3,28,77,15,17,15,3,0,0,3,0,0,3,2015
"471",470,"DEPORTIVO","ATLETICO MADRID","1-1","0-1",4.8,7.3,6.4,43,57,4,3,7,0,1,30,79,18,15,4,2,0,0,4,3,12,5,5,28,82,9,12,9,0,0,0,1,1,1,1,2015
"472",471,"REAL MADRID","LAS PALMAS","3-1","3-1",6.6,7.4,5.6,52,48,6,11,17,0,6,22,89,3,9,12,0,0,0,3,5,8,0,3,18,87,7,19,9,3,0,0,3,1,1,3,2015
"473",472,"VALENCIA","LEVANTE","3-0","0-0",5.7,7.4,5.3,59,41,4,6,14,4,5,24,82,12,26,19,2,0,0,4,5,10,1,5,34,69,8,16,21,2,0,0,3,0,0,3,2015
"474",473,"VILLARREAL","SEVILLA FC","2-1","1-0",5.6,6.6,5.7,52,48,5,5,11,1,7,21,78,13,20,17,5,0,0,3,3,6,0,5,24,74,16,13,14,3,0,0,2,1,1,2,2015
"475",474,"GETAFE","BARCELONA","0-2","0-1",3.8,5.2,7.9,29,71,4,0,6,2,3,19,72,7,23,10,3,0,0,6,6,14,2,5,15,89,7,12,3,0,0,0,0,2,2,0,2015
"476",475,"REAL SOCIEDAD","CELTA","2-3","2-1",8.8,5.8,7.1,42,58,8,5,20,7,8,22,65,23,16,10,2,0,0,5,8,16,3,7,23,77,20,21,13,4,0,0,2,3,3,2,2015
"477",476,"EIBAR","RAYO VALLECANO","1-0","1-0",3.1,6.1,5.8,38,62,8,1,12,3,2,32,56,28,31,17,2,0,0,4,2,6,0,6,39,74,24,31,11,3,0,0,1,0,0,1,2015
"478",477,"ESPANYOL","GRANADA","1-1","0-0",5.1,6,6.2,58,42,5,4,10,1,5,25,72,22,22,16,2,1,0,4,5,9,0,6,26,63,18,32,19,6,0,0,1,1,1,1,2015
"479",478,"GIJÓN","MÁLAGA","1-0","1-0",4,7.1,5.9,36,64,3,6,9,0,7,17,67,14,36,11,1,0,0,6,5,13,2,5,20,80,24,21,8,3,0,0,1,0,0,1,2015
"480",479,"REAL BETIS","ATHLETIC","1-3","0-2",7.2,5,7.8,52,48,2,3,11,6,7,31,76,15,28,9,2,0,0,7,9,23,7,9,26,75,22,18,13,4,0,0,1,3,3,1,2015
"481",480,"LAS PALMAS","REAL SOCIEDAD","2-0","1-0",4.5,7.5,5.8,46,54,3,4,8,1,0,26,76,14,40,17,1,0,0,2,6,11,3,8,21,77,24,6,14,4,0,0,2,0,0,2,2015
"482",481,"CELTA","VALENCIA","1-5","1-2",5.9,4.7,8.1,60,40,8,3,17,6,15,17,77,13,9,16,1,0,0,2,5,9,2,5,17,70,18,32,27,3,0,0,1,5,5,1,2015
"483",482,"LEVANTE","DEPORTIVO","1-1","0-1",5,5.7,7,54,46,6,5,15,4,9,35,74,23,20,13,4,0,0,2,5,9,2,5,23,68,23,25,10,2,0,0,1,1,1,1,2015
"484",483,"RAYO VALLECANO","GRANADA","2-1","2-0",4.8,6.5,5,42,58,4,2,7,1,4,23,64,23,17,15,3,1,0,5,2,8,1,1,32,76,28,20,14,3,0,0,2,1,1,2,2015
"485",484,"EIBAR","GETAFE","3-1","2-1",6.5,7.1,5.2,44,56,3,7,16,6,5,24,67,19,21,13,3,0,0,5,4,10,1,7,28,75,18,24,9,1,0,1,3,1,1,3,2015
"486",485,"MÁLAGA","REAL BETIS","0-1","0-0",3.2,6.5,6.3,57,43,6,5,12,1,6,32,73,21,11,16,2,0,0,3,2,7,2,3,19,68,18,33,12,5,0,0,0,1,1,0,2015
"487",486,"ATHLETIC","ESPANYOL","2-1","1-0",4.4,6.5,5.7,44,56,5,2,8,1,4,32,65,22,15,17,2,0,0,2,1,5,2,5,28,72,25,33,25,6,0,0,2,1,1,2,2015
"488",487,"BARCELONA","VILLARREAL","3-0","0-0",5.6,7.9,4.8,64,36,8,9,20,3,7,19,87,10,10,12,5,0,0,2,2,5,1,2,19,73,7,14,19,3,0,0,3,0,0,3,2015
"489",488,"ATLETICO MADRID","GIJÓN","1-0","0-0",3.3,6.5,5.6,72,28,8,3,15,4,5,37,82,29,14,14,4,0,0,4,2,9,3,1,17,53,28,58,15,3,0,0,1,0,0,1,2015
"490",489,"SEVILLA FC","REAL MADRID","3-2","1-1",9.9,6.6,6.5,45,55,5,5,14,4,4,8,86,12,18,13,1,0,0,11,10,28,7,6,19,89,4,13,11,1,0,0,3,2,2,3,2015
"491",490,"REAL SOCIEDAD","SEVILLA FC","2-0","0-0",4.5,7,5.8,61,39,2,7,14,5,7,20,77,13,24,6,2,0,0,6,5,13,2,5,32,65,18,26,14,1,0,0,2,0,0,2,2015
"492",491,"REAL MADRID","BARCELONA","0-4","0-2",6.7,5.1,8.2,41,59,2,7,13,4,10,19,83,7,13,13,3,0,1,7,7,18,4,3,15,87,7,14,10,2,0,0,0,4,4,0,2015
"493",492,"ESPANYOL","MÁLAGA","2-0","2-0",4.4,6.5,5.9,41,59,4,3,7,0,3,20,68,12,37,20,5,0,0,5,5,14,4,8,21,80,11,15,16,2,0,0,2,0,0,2,2015
"494",493,"VALENCIA","LAS PALMAS","1-1","1-0",5,5.9,7.3,38,62,3,3,9,3,1,16,73,15,26,22,3,0,0,9,7,18,2,7,19,85,8,10,12,3,0,0,1,1,1,1,2015
"495",494,"DEPORTIVO","CELTA","2-0","1-0",4.8,7,5.2,39,61,3,2,5,0,2,16,66,16,36,16,6,0,0,0,4,6,2,10,25,78,11,11,13,3,0,0,2,0,0,2,2015
"496",495,"GIJÓN","LEVANTE","0-3","0-3",5.4,4.6,7.3,51,49,7,2,13,4,5,10,76,17,14,15,4,0,0,7,6,13,0,3,18,74,21,30,15,5,0,0,0,3,3,0,2015
"497",496,"VILLARREAL","EIBAR","1-1","0-1",5.5,6.5,5.8,58,42,5,5,12,2,12,16,76,16,27,8,3,0,0,4,7,17,6,6,22,62,27,28,13,3,1,0,1,1,1,1,2015
"498",497,"GRANADA","ATHLETIC","2-0","1-0",4.4,6,6,33,67,4,1,8,3,2,19,56,18,34,21,6,0,0,2,6,11,3,7,36,75,20,14,15,3,0,0,2,0,0,2,2015
"499",498,"REAL BETIS","ATLETICO MADRID","0-1","0-1",3.4,6.2,6.9,43,57,3,3,6,0,2,26,75,18,29,12,1,0,0,7,4,11,0,6,24,82,16,25,8,4,0,0,0,1,1,0,2015
"500",499,"GETAFE","RAYO VALLECANO","1-1","0-0",5.6,5.7,5.9,37,63,5,8,15,2,5,26,64,15,27,20,5,0,0,3,4,8,1,7,26,79,17,24,15,4,0,0,1,1,1,1,2015
"501",500,"LEVANTE","REAL BETIS","0-1","0-1",4.7,4.8,6.9,57,43,9,1,14,4,7,23,77,21,14,12,5,0,1,4,5,11,2,4,20,73,24,32,15,5,1,0,0,1,1,0,2015
"502",501,"BARCELONA","REAL SOCIEDAD","4-0","2-0",6,8.1,4.9,56,44,4,6,11,1,6,20,83,7,15,11,0,0,0,6,2,10,2,4,18,80,6,12,14,5,0,0,4,0,0,4,2015
"503",502,"ATLETICO MADRID","ESPANYOL","1-0","1-0",3.8,7.4,5.4,52,48,12,6,21,3,6,34,79,14,16,16,0,0,0,4,0,5,1,2,16,76,14,22,26,4,0,0,1,0,0,1,2015
